Topic,Count,Percentage,Seconds,KB_Article
Giving or Seeking Information,33,0.02,126.3939394,Mayor's Office - KB Team
Golf Information,2,0,134.5,Parks - KB Team
Good Samaritan Law [CODE-INQUIRY],4,0,49.5,Code Enforcement - KB Team
Graffiti,18,0.01,159.5,Parks - KB Team
Graffiti Waiver Form [CODE-REQUEST],1,0,239,Code Enforcement - KB Team
Grass- Environmental Violation [CODE-SERVICE],711,0.35,123.5879044,Code Enforcement - KB Team
HR-INQUIRY: How do I apply for a job at the City? ,33,0.02,67.81818182,Administration and Finance - KB Team
HR-INQUIRY: What is the status of my application?,4,0,106.5,Administration and Finance - KB Team
HR-INQUIRY: What jobs are currently available at the City?,14,0.01,76.07142857,Administration and Finance - KB Team
HRMS - General Information,626,0.31,38.65495208,Administration and Finance - KB Team
High Bill or Consumption Questions,311,0.15,194.2250804,Water Works - KB Team
House Numbers Regulations [CODE-INQUIRY] ,2,0,186,Code Enforcement - KB Team
How to Check on the Code Enforcement Status of a Property [CODE-INQUIRY],15,0.01,134.8666667,Code Enforcement - KB Team
Howard Park Rec Center Information,9,0,97.77777778,Parks - KB Team
I Have a Question about My Letter [CODE-INQUIRY],321,0.16,194.5140187,Code Enforcement - KB Team
IVR Transfer for Payment,3545,1.75,59.82961918,Water Works - KB Team
IVR Troubles,944,0.47,213.5985169,Water Works - KB Team
Lamp Post Information,17,0.01,98.64705882,Engineering - KB Team
Landlord Registration Overview [CODE-INQUIRY],43,0.02,43.86046512,Code Enforcement - KB Team
Landlord and Tenant Relations; Tenant Rights [CODE-INQUIRY],2,0,139.5,Code Enforcement - KB Team
Lawn Damage from Plow,20,0.01,166,Streets - KB Team
Leaf Pick-Up,33,0.02,70.81818182,Streets - KB Team
Legal General Information,417,0.21,93.30935252,Legal - KB Team
Litter- Environmental Violation [CODE-SERVICE] ,454,0.22,185.8259912,Code Enforcement - KB Team
Loose Leaf General Information,2666,1.32,51.30832708,Matt Coats
Loose Leaf Miss,318,0.16,136.5220126,Streets - KB Team
Low Pressure Check,84,0.04,109.2261905,Water Works - KB Team
Mailbox Damage from Plow,4,0,157,Streets - KB Team
Material and Department Information [OR-INQUIRY],3,0,42.33333333,Danielle Fulmer
Mayor's Office General Information,907,0.45,109.4939361,Mayor's Office - KB Team
Mayor's Office News,107,0.05,169.0841121,Mayor's Office - KB Team
Mayor's Office Only,47,0.02,283.7021277,Mayor's Office - KB Team
Mayor's Schedule,77,0.04,114.3896104,Mayor's Office - KB Team
Meter Exchange,30,0.01,86.36666667,Water Works - KB Team
Miscellaneous City Information,366,0.18,65.08743169,311 Office
Miscellaneous Trash Information,12935,6.39,75.1381523,Solid Waste - KB Team
Missed Extra Trash Pick-Up,36,0.02,191.0555556,Solid Waste - KB Team
Missing or Dislodge Manhole Cover,27,0.01,151.3703704,Streets - KB Team
Mold [CODE-INQUIRY],3,0,157.3333333,Code Enforcement - KB Team
Mulch and Compostable Materials Information,1685,0.83,44.21068249,Lucy Macfarlane
Multi-Family in a Single-Family Residence [CODE-INQUIRY],4,0,565,Code Enforcement - KB Team
NIPSCO General Information,55,0.03,75.36363636,311 Office
Neighborhood Cleanup [CODE-REQUEST],12,0.01,573.5,Code Enforcement - KB Team
Neighborhood Parking Guidelines [CODE-INQUIRY],87,0.04,200.1264368,Code Enforcement - KB Team
New Solid Waste Service Information [SW-INQUIRY],1098,0.54,110.5510018,Solid Waste - KB Team
No Article Found - Administration and Finance,187,0.09,49.73796791,Administration and Finance - KB Team
No Article Found - Animal Care and Control,135,0.07,73.4962963,Animal Control - KB Team
No Article Found - Building ,42,0.02,54.97619048,Building - KB Team
No Article Found - City Clerk,1,0,69,City Clerk - KB Team
No Article Found - Code Enforcement,642,0.32,86.47819315,Code Enforcement - KB Team
No Article Found - Community Investment,113,0.06,80.76106195,DCI - Dispatch
No Article Found - Engineering,115,0.06,92.14782609,Engineering - KB Team
No Article Found - Fire,7,0,71.85714286,Fire Department - KB Team
No Article Found - Mayor's Office,7,0,132.1428571,Mayor's Office - KB Team
No Article Found - Police,32,0.02,150.1875,Police Department - KB Team
No Article Found - Sewers,32,0.02,109.1875,Streets - KB Team
No Article Found - Streets,80,0.04,122.725,Streets - KB Team
No Article Found - Traffic and Lighting,7,0,183.7142857,Streets - KB Team
"No Article Found - Venues, Parks, and Arts",119,0.06,144.1344538,Parks - KB Team
No Article Found - Water Works,1355,0.67,111.4361624,Danielle Fulmer
OR-SERVICE: Compost,77,0.04,64.24675325,Danielle Fulmer
OR-SERVICE: Mulch,48,0.02,40.22916667,Danielle Fulmer
Orphaned Wildlife,50,0.02,80.16,Animal Control - KB Team
Orphaned Wildlife - Action,6,0,129.6666667,Animal Control - KB Team
Other Billing Inquiries,4119,2.03,110.6244234,Water Works - KB Team
PKMS - General Concern,123,0.06,193.9837398,Parks - KB Team
PKS - General Information,257,0.13,68.80933852,Parks - KB Team
POL - General Information,744,0.37,59.65994624,Police Department - KB Team
Park Ball Field Diamond Maintenance,1,0,310,Parks - KB Team
Park Forestry Info,27,0.01,69.44444444,Parks - KB Team
Park Lights Out,4,0,143.5,Parks - KB Team
Park Tall Grass or Weeds,2,0,182.5,Parks - KB Team
Park Trash Pick Up,3,0,70.33333333,Parks - KB Team
Park Tree Maintenance [FOR-REQUEST],3,0,339,Parks - KB Team
Park Vandalism or Damage [FACS-REQUEST],2,0,224,Parks - KB Team
Parking Tickets [CLERK-INQUIRY],3,0,41.33333333,City Clerk - KB Team
Payment Arrangement Inquiry,3248,1.6,83.68811576,Sa- Adoxio
Payroll General Information,36,0.02,42.08333333,Administration and Finance - KB Team
Placement of Trash Services [SW-REQUEST] ,6,0,121.5,Solid Waste - KB Team
Plugged Catch Basin,328,0.16,105.1280488,Streets - KB Team
Potawatomi Park Concert Series [EXP-INQUIRY],2,0,259,Parks - KB Team
Potawatomi Zoo Information,1,0,34,Parks - KB Team
Pothole Repair,674,0.33,128.8620178,Streets - KB Team
Program Registration,2,0,135.5,Parks - KB Team
Property Utilities Are Shut off While Occupied [CODE-INQUIRY],15,0.01,150,Code Enforcement - KB Team
Property with Code Violations and Monies Due Information Request [CODE-REQUEST],36,0.02,293.0833333,Code Enforcement - KB Team
Public Works Personnel Complaints,2,0,356,Public Works - KB Team
REC-INQUIRY: Erskine Golf Course,2,0,38.5,Parks - KB Team
REC-INQUIRY: Howard Park Recreation Center,4,0,121.5,Parks - KB Team
REC-INQUIRY: O'Brien Fitness Center,1,0,72,Parks - KB Team
REC-INQUIRY: Splash Pads,3,0,99.66666667,Parks - KB Team
REC-REQUEST: Ball Fields & Gym Rentals,2,0,30,Parks - KB Team
REC-REQUEST: Charles Black Sr. Youth Programs,1,0,18,Parks - KB Team
REC-REQUEST: Indoor Venue Reservation,1,0,70,Parks - KB Team
REC-REQUEST: Kids World Day Camp,1,0,90,Parks - KB Team
"REC-REQUEST: Martin Luther King Jr. ""Made"" Program",1,0,14,Parks - KB Team
REC-REQUEST: Outdoor Area Reservation,1,0,59,Parks - KB Team
REC-REQUEST: Rum Village Programs,3,0,180.3333333,Parks - KB Team
REC-REQUEST: Youth Basketball League,1,0,22,Parks - KB Team
Ramshorn,9,0,729.8888889,Water Works - KB Team
Regular Trash Tote Pick-Up,216,0.11,168.9444444,Solid Waste - KB Team
Regular Trash Tote Pick-up [SW-REQUEST],53,0.03,187.2641509,Solid Waste - KB Team
Request an Interior Inspection [CODE-INQUIRY],70,0.03,230.3428571,Code Enforcement - KB Team
Request for Proclamation for Event/Organization,5,0,250,Mayor's Office - KB Team
Request to Speak with Mayor's Office Personnel,1361,0.67,72.09184423,Mayor's Office - KB Team
Resident is Calling to Give Information or Ask for Opinions of the Mayor's Office,31,0.02,187.2903226,Mayor's Office - KB Team
Resident with Hardship,6,0,242.8333333,Mayor's Office - KB Team
Rum Village Information,1,0,271,Parks - KB Team
Running a Business Out of a Home [CODE-INQUIRY],14,0.01,747.5,Code Enforcement - KB Team
SBFD-INQUIRY: Ambulance Runs (Patient Care Reports),2,0,30.5,Fire Department - KB Team
SBFD-INQUIRY: Burn Regulations,11,0.01,88,Fire Department - KB Team
SBFD-INQUIRY: Commercial Fire Inspections,3,0,24.66666667,Fire Department - KB Team
SBPD-INQUIRY: Non-emergency calls and accidents,24,0.01,1226.416667,Police Department - KB Team
SBPD-INQUIRY: Request a Summary Report,1,0,56,Police Department - KB Team
SBPD-INQUIRY: VIN Checks,1,0,22,Police Department - KB Team
SE-INCIDENT: Basement Flooding,105,0.05,127.2380952,Streets - KB Team
SE-INCIDENT: Catch Basin Cave-In,25,0.01,171.6,Streets - KB Team
SE-INCIDENT: Missing or Dislodged Manhole Cover,51,0.03,126.1764706,Streets - KB Team
SE-INCIDENT: Plugged Catch Basin,304,0.15,89.26315789,Streets - KB Team
SE-INCIDENT: Sewer Back Up,586,0.29,130.6399317,Danielle Fulmer
SE-SERVICE: Sewer Smell,38,0.02,184.8157895,Streets - KB Team
SRGC - General Information,4,0,79.5,Administration and Finance - KB Team
SRMS - General Concerns,11,0.01,45.45454545,Administration and Finance - KB Team
ST-INCIDENT: Damage to Curb,5,0,147.2,Streets - KB Team
ST-INCIDENT: Lawn Damage from Plow,21,0.01,158.047619,Streets - KB Team
ST-INCIDENT: Mailbox Damage from Plow,21,0.01,154.3809524,Streets - KB Team
ST-INCIDENT: Street Cave-In,56,0.03,173.5535714,Streets - KB Team
ST-INCIDENT: Street Flooding,71,0.04,136.2394366,Streets - KB Team
ST-INCIDENT: Street Light Outage,627,0.31,129.6746411,Streets - KB Team
ST-INQUIRY: General Snow Information,12,0.01,214.5,Streets - KB Team
ST-INQUIRY: Leaf Pick Up General Information,3301,1.63,62.30415026,Streets - KB Team
ST-SERVICE: Alley Maintenance Request,276,0.14,100.307971,Streets - KB Team
ST-SERVICE: Debris in the Street,116,0.06,123.3534483,Streets - KB Team
ST-SERVICE: Pothole ,1343,0.66,89.76023827,Streets - KB Team
ST-SERVICE: Snow Bank - Sight Impeded,9,0,321.5555556,Streets - KB Team
ST-SERVICE: Street Needs Plowed,783,0.39,103.8952746,Streets - KB Team
ST-SERVICE: Street Paving,90,0.04,138.6111111,Streets - KB Team
SW - Schedule: Holiday/Delay,1408,0.7,32.99431818,Solid Waste - KB Team
SW-INCIDENT: Regular Trash Miss,1113,0.55,113.7753819,Solid Waste - KB Team
SW-INCIDENT: Same Day Miss,337,0.17,90.74183976,Solid Waste - KB Team
SW-INCIDENT: Trash Complaints,91,0.04,218.8901099,Solid Waste - KB Team
SW-INQUIRY: Assisted Collection,170,0.08,191.3705882,Solid Waste - KB Team
SW-INQUIRY: Collection Information,486,0.24,89.85185185,Danielle Fulmer
SW-INQUIRY: Customer Compliments,15,0.01,240.5333333,Solid Waste - KB Team
SW-INQUIRY: Holiday/Delay Schedule,574,0.28,32.25783972,Solid Waste - KB Team
SW-INQUIRY: Trash Rates,10,0,115.6,Solid Waste - KB Team
SW-INQUIRY: Yard Waste Weekly Service,1540,0.76,42.95519481,Solid Waste - KB Team
SW-REQUEST: Additional Trash Container Request,170,0.08,131.4117647,Solid Waste - KB Team
SW-REQUEST: Cancel Extra Pick-up,188,0.09,83.23404255,Solid Waste - KB Team
SW-REQUEST: Christmas Tree Pick-up,441,0.22,78.42630385,Danielle Fulmer
SW-REQUEST: Container Up/Down Size,193,0.1,123.2435233,Danielle Fulmer
SW-REQUEST: Crew Reminder,62,0.03,168.4193548,Solid Waste - KB Team
SW-REQUEST: Extra Trash Pick-up,1951,0.96,102.1614557,Danielle Fulmer
SW-REQUEST: General Concern,886,0.44,199.6309255,Solid Waste - KB Team
SW-REQUEST: Return Trip Customer Error,576,0.28,134.2864583,Solid Waste - KB Team
SW-REQUEST: Senior Discount,38,0.02,70.18421053,Solid Waste - KB Team
SW-REQUEST: Trash Container Repair Request,338,0.17,104.6301775,Solid Waste - KB Team
SW-REQUEST: Trash Credit Request,50,0.02,254.7,Solid Waste - KB Team
SW-REQUEST: Yard Waste Container Repair Request,30,0.01,86.63333333,Solid Waste - KB Team
SW-REQUEST: Yard Waste Container Replacement,15,0.01,146.9333333,Solid Waste - KB Team
SW-REQUEST: Yard Waste Extra Pick-up,1601,0.79,89.77201749,Solid Waste - KB Team
SW-REQUEST: Yard Waste Tote Pick-up,49,0.02,148.3469388,Solid Waste - KB Team
SWGC - General Concern,3486,1.72,179.8809524,Solid Waste - KB Team
Same Day Miss [SW-INCIDENT] ,621,0.31,80.215781,Solid Waste - KB Team
Same Day Missed Trash,2894,1.43,126.2111265,Solid Waste - KB Team
Senior Discount,100,0.05,134.32,Solid Waste - KB Team
Service Request Update & Service Request Timeframes Anticipated Action Timeframe,2,0,71,Parks - KB Team
Sewer Backup,18,0.01,202.8888889,Streets - KB Team
Sewer Balance Inquiry,3,0,127.6666667,Water Works - KB Team
Sewer Basement Backup Plan,48,0.02,103.5,Engineering - KB Team
Sewer Charge Inquiry,90,0.04,175.0222222,Water Works - KB Team
Sewer Complaints,1,0,307,Streets - KB Team
Sewer Miscellaneous,765,0.38,127.9830065,Streets - KB Team
Sewer Smell,35,0.02,160.9142857,Streets - KB Team
Shut Off for Non Pay,5230,2.58,93.12734226,Sa- Adoxio
Smart Street Inquiry,60,0.03,144.6666667,Engineering - KB Team
Smart Streets,119,0.06,210.9411765,Lucy Macfarlane
Snow Removal [FACS-INCIDENT],12,0.01,124,Parks - KB Team
Solid Waste No Article,234,0.12,147.034188,Solid Waste - KB Team
South Bend Home Improvement Program,389,0.19,100.5012853,DCI - Dispatch
South Bend School Corporation,48,0.02,77.625,Mayor's Office - KB Team
Splash Pad Info,1,0,70,Parks - KB Team
Spring ReLeaf [ST-SERVICE] ,734,0.36,95.25340599,Danielle Fulmer
St Patrick's Day Parade [EXP-INQUIRY] ,3,0,231,Parks - KB Team
St. Patrick's Day Parade [EXP-INQIURY],1,0,668,Parks - KB Team
Start Domestic Service,221,0.11,47.02262443,Lucy Macfarlane
Start Sprinkler Service,3,0,52.66666667,Water Works - KB Team
Start Water Service Verify,27,0.01,52.33333333,Water Works - KB Team
State Service Information,171,0.08,59.09356725,311 Office
State Services Information [311-INQUIRY] ,465,0.23,71.80215054,311 - KB Team
Stationary Containers [SW-INQUIRY] ,13,0.01,126.1538462,Solid Waste - KB Team
Street Cave-In,28,0.01,229.1071429,Matt Coats
Street Flooding,27,0.01,125.1851852,Streets - KB Team
Street Light Outage,750,0.37,120.2973333,Engineering - KB Team
Street Needs Plowed,129,0.06,131.2015504,Streets - KB Team
Street Painting Request (In Season),36,0.02,128.2222222,Streets - KB Team
Street Painting Request (Out of Season),24,0.01,205.2916667,Streets - KB Team
Street Painting [TRA-SERVICE],17,0.01,164.0588235,Streets - KB Team
Street Paving,129,0.06,167.7984496,Streets - KB Team
Street Sweeping,136,0.07,118.2426471,Streets - KB Team
Street Sweeping [ST-SERVICE],112,0.06,116.3839286,Streets - KB Team
Streets Department Complaint,173,0.09,207.1907514,Streets - KB Team
Streets Department Miscellaneous,968,0.48,106.5826446,Streets - KB Team
Streets General Concern,732,0.36,183.6939891,Streets - KB Team
Structure Demolition Process [CODE-INQUIRY] ,16,0.01,307.3125,Code Enforcement - KB Team
Substandard Structure Violations [CODE-INQUIRY],80,0.04,263.7375,Code Enforcement - KB Team
Sulfur Smell in Water [WW-INQUIRY],3,0,250.6666667,Water Works - KB Team
Summer Jobs,2,0,96.5,Parks - KB Team
Supervisor Review,56,0.03,246.4107143,Sa- Adoxio
TRA-SERVICE: Traffic Sign Missing/Damaged,34,0.02,148.8823529,Streets - KB Team
TRA-SERVICE: Traffic Signal Complaint,46,0.02,148.1086957,Streets - KB Team
